region,latitude,longitude,dist_city,dist_airport,dist_railway
1,28.631012844996434,77.22849376606828,2690.9496752988725,15052.773261819986,1633.2795647592773
2,28.631012844996434,77.18950623393172,2690.9496752988725,12065.190400631875,3235.0476797179194
3,28.596787155003568,77.18950623393172,2691.1689131961425,9836.618151005818,5952.7956374450405
4,28.596787155003568,77.22849376606828,2691.1689131961425,13334.26449404671,5256.928969280497
5,28.63920262893974,77.27858487724471,7351.36750063312,19727.311510559644,5784.884193915521
6,28.674985949950013,77.23782299989082,7351.784482352003,18853.44533642271,3941.042364082106
7,28.674985949950013,77.18017700010918,7351.784482352003,15352.93466228366,5201.616039703266
8,28.63920262893974,77.1394151227553,7351.36750063312,9999.540498023724,7829.315349158291
9,28.588597371060263,77.1394151227553,7352.879347461787,5271.836169328073,9911.804946701452
10,28.55281405004999,77.18017700010918,7352.410711978002,7839.891848751394,10779.502070224858
11,28.55281405004999,77.23782299989082,7352.410711978002,13466.364913882771,10230.310455185308
12,28.588597371060263,77.27858487724471,7352.879347461787,17807.513789387765,8390.301856126769
13,28.63456945697947,77.32736977289017,11779.836451929152,23847.64474728801,10572.8144941184
14,28.672761633482377,77.3093490479923,11778.652232540811,24199.01871619737,9355.06410688926
15,28.701992659869628,77.27605109020399,11779.387362402005,23623.12024928984,8537.35006251112
16,28.71781237735368,77.23254521175177,11780.675961383715,22141.907355787065,8371.569467212648
17,28.71781237735368,77.18545478824824,11780.675961383715,19811.35551089314,8915.93940780588
18,28.701992659869628,77.14194890979601,11779.387362402005,16720.414560951067,9984.492306629758
19,28.672761633482377,77.10865095200771,11778.652232540811,12988.542440062674,11297.92234987161
20,28.63456945697947,77.09063022710984,11779.836451929152,8762.169413876409,12614.804132878044
21,28.593230543020532,77.09063022710984,11782.066712386446,4218.039961948022,13760.52603252733
22,28.555038366517625,77.10865095200771,11783.216849261113,854.7413265669543,14616.865338111429
23,28.525807340130374,77.14194890979601,11782.437347294977,5311.482896057984,15110.01075382834
24,28.50998762264632,77.18545478824824,11781.119589715281,9802.779511439465,15202.724206642586
25,28.50998762264632,77.23254521175177,11781.119589715281,13930.624023296541,14889.371275674595
26,28.525807340130374,77.27605109020399,11782.437347294977,17525.942418304752,14193.789792823187
27,28.555038366517625,77.3093490479923,11783.216849261113,20447.203104305983,13171.25322659921
28,28.593230543020532,77.32736977289017,11782.066712386446,22581.407256918785,11915.727152048898
29,28.6293633129672,77.3878453914978,17541.0637119279,29257.30387815001,16503.376020952383
30,28.659695692456197,77.3809724634002,17538.832317733435,29744.918346113398,15860.221219055376
31,28.68826816916662,77.36749072997739,17537.489843588733,29955.466053989538,15276.52118462271
32,28.713982718842118,77.34791828668418,17537.309112379637,29887.04335134065,14783.1609496228
33,28.73585114575955,77.32300729153995,17538.188191756,29540.450384665153,14409.01535557868
34,28.753033058536435,77.29371506011789,17539.69119105045,28919.192754172964,14177.779626504602
35,28.76486816590048,77.26116727644424,17541.201082229243,28029.531912780247,14104.753835490785
36,28.770901651312897,77.22661473359258,17542.132527121466,26880.577124387426,14194.50672607813
37,28.770901651312897,77.19138526640742,17542.132527121466,25484.412293540194,14440.25247564491
38,28.76486816590048,77.15683272355577,17541.201082229243,23856.263067053977,14825.163459257206
39,28.753033058536435,77.12428493988212,17539.69119105045,22014.741265689234,15325.072526151538
40,28.73585114575955,77.09499270846005,17538.188191756,19982.271230499224,15911.61544096506
41,28.713982718842118,77.07008171331583,17537.309112379637,17785.947097317578,16555.005366301622
42,28.68826816916662,77.05050927002262,17537.489843588733,15459.40567936096,17226.062102112905
43,28.659695692456197,77.03702753659981,17538.832317733435,13047.169504173082,17897.500353316333
44,28.6293633129672,77.0301546085022,17541.0637119279,10615.420453577482,18544.66428249884
45,28.5984366870328,77.0301546085022,17543.621684180434,8280.90832772898,19145.912613259636
46,28.568104307543805,77.03702753659981,17545.83687059301,6290.881197864874,19682.79979475497
47,28.539531830833383,77.05050927002262,17547.151088837178,5177.1693462501735,20140.13193618873
48,28.513817281157884,77.07008171331583,17547.29798790162,5545.430589826272,20505.93123850892
49,28.49194885424045,77.09499270846005,17546.385857054018,7161.130454092028,20771.323981995436
50,28.474766941463567,77.12428493988212,17544.855246858224,9360.665415339125,20930.367923623067
51,28.46293183409952,77.15683272355577,17543.325897937815,11764.117047960479,20979.845408710622
52,28.456898348687105,77.19138526640742,17542.384466497995,14200.711173428985,20919.059687315614
53,28.456898348687105,77.22661473359258,17542.384466497995,16582.796119636125,20749.67737814204
54,28.46293183409952,77.26116727644424,17543.325897937815,18856.055623715365,20475.656317329303
55,28.474766941463567,77.29371506011789,17544.855246858224,20981.547538284194,20103.284830276447
56,28.49194885424045,77.32300729153995,17546.385857054018,22928.774060228356,19641.33800376857
57,28.513817281157884,77.34791828668418,17547.29798790162,24672.800649260927,19101.33246560053
58,28.539531830833383,77.36749072997739,17547.151088837178,26192.98014693388,18497.83691852205
59,28.568104307543805,77.3809724634002,17545.83687059301,27472.34489615156,17848.772647507696
60,28.5984366870328,77.3878453914978,17543.621684180434,28497.278720188446,17175.614689838076
61,28.625110863904858,77.46895231999873,25404.31732882796,36828.92849348559,24430.189031028724
62,28.647424624966693,77.46644883705275,25401.698787922724,37185.051601292165,24102.661188031034
63,28.66941552556367,77.4614659810701,25399.340956267504,37463.12907237482,23786.338330965962
64,28.6908717813016,77.45405173967781,25397.396034127247,37662.368835211375,23484.9089779167
65,28.711586756708535,77.44427751607351,25395.981854350754,37782.221047689934,23202.007552185714
66,28.731360955247357,77.43223744137364,25395.17217027653,37822.370088782794,22941.145659446942
67,28.750003940576455,77.41804746807935,25394.99073009387,37782.72947190834,22705.640361251313
68,28.767336170555822,77.4018442533905,25395.40965373053,37663.43977264297,22498.54220568204
